Date,crude_price,sp_500,vix,usd,libya_oil_production,kazak_oil_production,qatar_oil_production,iran_oil_production,kuwait_oil_production,uae_oil_production,saudi_oil_production,iraq_oil_production,world_oil_consumption,usa_oil_production
2018-01-07,61.36249923706055,2717.5625,9.34000015258789,91.68074989318848,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10000000.0
2018-02-01,65.80000305175781,2822.5,13.470000267028809,88.50499725341797,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-02,65.44999694824219,2756.75,17.309999465942383,89.03600311279297,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-03,65.20800018310547,2816.6,14.589999961853028,88.925,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-04,65.20800018310547,2816.6,14.589999961853028,88.925,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-05,64.1500015258789,2607.75,37.31999969482422,89.40499877929688,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-06,63.38999938964844,2694.25,29.979999542236328,89.45099639892578,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-02-07,61.790000915527344,2668.25,27.729999542236328,90.11799621582031,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10262000.0
2018-03-01,60.9900016784668,2678.25,22.469999313354492,90.28099822998047,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-02,61.25,2690.25,19.59000015258789,89.90599822998047,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-03,62.15999984741211,2723.0,19.260000038146973,90.1615997314453,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-04,62.15999984741211,2723.0,19.260000038146973,90.1615997314453,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-05,62.56999969482422,2718.5,18.729999542236328,90.04100036621094,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-06,62.599998474121094,2724.0,18.360000610351562,89.58999633789062,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-03-07,61.150001525878906,2723.25,17.760000228881836,89.60700225830078,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10466000.0
2018-04-01,65.03000068664551,2631.4375,21.59250020980835,89.27949905395508,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-02,63.0099983215332,2575.0,23.6200008392334,89.70600128173828,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-03,63.5099983215332,2613.25,21.100000381469727,89.85900115966797,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-04,63.369998931884766,2647.0,20.059999465942383,89.78299713134766,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-05,63.540000915527344,2661.75,18.940000534057617,90.15399932861328,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-06,62.060001373291016,2605.75,21.489999771118164,89.78199768066406,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-04-07,63.097999572753906,2620.55,21.042000198364256,89.85679931640625,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10499000.0
2018-05-01,67.25,2652.25,15.489999771118164,92.25499725341797,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-02,67.93000030517578,2627.5,15.970000267028809,92.33899688720703,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-03,68.43000030517578,2631.75,15.899999618530273,92.2509994506836,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-04,69.72000122070312,2663.0,14.770000457763672,92.40799713134766,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-05,68.38000030517578,2644.3,15.61200008392334,92.17659759521484,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-06,68.38000030517578,2644.3,15.61200008392334,92.17659759521484,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-05-07,70.7300033569336,2670.0,14.75,92.59200286865234,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10434000.0
2018-06-01,65.80999755859375,2733.75,13.460000038146973,94.16899871826172,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-02,66.94750022888184,2714.0,15.212500095367432,94.25799942016602,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-03,66.94750022888184,2714.0,15.212500095367432,94.25799942016602,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-04,64.75,2745.5,12.739999771118164,93.98600006103516,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-05,65.5199966430664,2751.5,12.399999618530273,93.87100219726562,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-06,64.7300033569336,2772.25,11.640000343322754,93.63400268554688,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-06-07,65.94999694824219,2772.25,12.130000114440918,93.3759994506836,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10640000.0
2018-07-01,71.79400024414062,2719.35,16.820000076293944,94.53980102539063,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10896000.0
2018-07-02,73.94000244140625,2727.25,15.600000381469727,94.77899932861328,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10896000.0
2018-07-03,74.13999938964844,2713.25,16.139999389648438,94.41200256347656,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10896000.0
2018-07-04,73.92000007629395,2720.375,16.170000076293945,94.65900039672852,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10896000.0
2018-07-05,72.94000244140625,2738.5,14.970000267028809,94.2229995727539,967363.3333,1855479.4521,599158.6137,3468888.8889,2736602.7397,3005000.0,10310000.0,4410083.3333,53521.387,10896000.0
